T,Error_T,h_upper,h_lower,h_lower_condensate,Error_h
309.15,0.05,0.115,0.0644,0.1644,0.0005
307.15,0.05,0.1127,0.0667,0.1664,0.0005
305.15,0.05,0.1107,0.0686,0.168,0.0005
303.15,0.05,0.1086,0.0704,0.1697,0.0005
