R,Error_R,t,Error_t
18.144,0.005,0,0.5
18.194,0.005,40,0.5
18.244,0.005,84,0.5
18.294,0.005,129,0.5
18.344,0.005,175,0.5
18.394,0.005,223,0.5
18.444,0.005,273,0.5
18.494,0.005,325,0.5
18.544,0.005,378,0.5
18.594,0.005,433,0.5
18.644,0.005,488,0.5
18.694,0.005,546,0.5
18.744,0.005,606,0.5
18.794,0.005,667,0.5
