R,Error_R,x,Error_x
50000,1,0.194,0.001
40000,1,0.19,0.001
30000,1,0.173,0.001
20000,1,0.156,0.001
10000,1,0.11,0.001
5000,1,0.074,0.001
4000,1,0.06,0.001
3000,1,0.05,0.001
