Value,Error
T_boil,373,0.5
d_hg_20,13546,0.5
d_hg_40,13497,0.5
d_h2o_20,998.2,0.05
d_h2o_40,992.2,0.05
g,9.8203,0.00005
R,8.3144598,0.00000005
