T,Error_T,de,Error_de,d,Error_d,t_10,t_20,Error_t
33.1,0.05,2500,50,2.05,0.05,6.5,13,0.25
33.2,0.05,7800,50,0.65,0.05,11.5,23.5,0.25
33.2,0.05,7800,50,0.7,0.05,10.5,21,0.25
