T,Error_T,de,Error_de,d,Error_d,t_10,t_20,Error_t
53,0.05,2500,50,2.15,0.05,2,4,0.25
53,0.05,2500,50,2.1,0.05,2,4,0.25
53,0.05,7800,50,0.7,0.05,3.4,7,0.25
53,0.05,7800,50,0.65,0.05,4.5,8.8,0.25
