T,Error_T,de,Error_de,d,Error_d,t_10,t_20,Error_t
63,0.05,2500,50,1.2,0.05,3.75,7.5,0.25
63,0.05,7800,50,0.6,0.05,2.75,4.5,0.25
63,0.05,7800,50,0.7,0.05,2,4.2,0.25
