I_f,Error_I_f,I_a,Error_I_a
0,0.5,88,0.5
10,0.5,88,0.5
20,0.5,85,0.5
25,0.5,85,0.5
30,0.5,84,0.5
35,0.5,79,0.5
36,0.5,77,0.5
38,0.5,75,0.5
40,0.5,75,0.5
43,0.5,71,0.5
46,0.5,64,0.5
48,0.5,59,0.5
50,0.5,53,0.5
52,0.5,45,0.5
54,0.5,32,0.5
56,0.5,19,0.5
58,0.5,8,0.5
60,0.5,6,0.5
75,0.5,0,0.5
