I_f,Error_I_f,I_a,Error_I_a
0,0.5,91,0.5
10,0.5,91,0.5
21,0.5,91,0.5
26,0.5,90,0.5
31,0.5,87,0.5
34,0.5,90,0.5
36,0.5,90,0.5
38,0.5,86,0.5
41,0.5,82,0.5
43,0.5,80,0.5
46,0.5,81,0.5
49,0.5,74,0.5
53,0.5,66,0.5
56,0.5,52,0.5
58,0.5,47,0.5
60,0.5,30,0.5
62,0.5,15,0.5
65,0.5,7,0.5
75,0.5,0,0.5
