I_f,Error_I_f,I_a,Error_I_a
0,0.5,96,0.5
10,0.5,90,0.5
20,0.5,90,0.5
25,0.5,83,0.5
29,0.5,71,0.5
31,0.5,70,0.5
32,0.5,65,0.5
33,0.5,62,0.5
34,0.5,61,0.5
35,0.5,59,0.5
36,0.5,55,0.5
37,0.5,51,0.5
38,0.5,44,0.5
39,0.5,38,0.5
40,0.5,28,0.5
41,0.5,20,0.5
42,0.5,12,0.5
45,0.5,5,0.5
60,0.5,0,0.5
