t,Error_t,U,Error_U
0,0.005,255,0.1
32.43,0.005,245.6,0.1
64.86,0.005,235.1,0.1
97.29,0.005,226,0.1
129.71,0.005,217,0.1
162.14,0.005,208,0.1
194.57,0.005,201,0.1
227,0.005,193,0.1
259.43,0.005,186,0.1
291.86,0.005,179.1,0.1
324.89,0.005,173,0.1
356.71,0.005,167,0.1
389.14,0.005,161,0.1
421.57,0.005,155.6,0.1
454,0.005,151,0.1
