t,Error_t,U,Error_U
0,1,0.0068,0.0001
24,1,0.0066,0.0001
44,1,0.0064,0.0001
62,1,0.0062,0.0001
82,1,0.006,0.0001
103,1,0.0058,0.0001
180,1,0.0051,0.0001
208,1,0.0049,0.0001
232,1,0.0047,0.0001
259,1,0.0045,0.0001
290,1,0.0043,0.0001
322,1,0.0041,0.0001
