t,Error_t,U,Error_U
0,1,0.0167,0.0001
22,1,0.015,0.0001
41,1,0.0135,0.0001
49,1,0.013,0.0001
79,1,0.011,0.0001
96,1,0.01,0.0001
116,1,0.009,0.0001
137,1,0.008,0.0001
