U_s,Error_U_s,U_t,Error_U_t
0.2,0.0001,0.2382,0.0001
0.5,0.0001,0.5985,0.0001
0.75,0.0001,0.9047,0.0001
1.0009,0.0001,1.2215,0.0001
1.2495,0.0001,1.5477,0.0001
1.5007,0.0001,1.8934,0.0001
