U_s,Error_U_s,U_t,Error_U_t
0.2,0.0001,0.2444,0.0001
0.5,0.0001,0.614,0.0001
0.7499,0.0001,0.928,0.0001
1.0008,0.0001,1.2528,0.0001
1.2489,0.0001,1.5865,0.0001
1.4997,0.0001,1.9395,0.0001
