U_s,Error_U_s,U_t,Error_U_t
0.2,0.0001,0.2517,0.0001
0.5003,0.0001,0.6323,0.0001
0.7502,0.0001,0.9558,0.0001
0.999,0.0001,1.287,0.0001
1.25,0.0001,1.6339,0.0001
1.5009,0.0001,1.9972,0.0001
