U_s,Error_U_s,U_t,Error_U_t
0.2,0.0001,0.231,0.0001
0.5,0.0001,0.58,0.0001
0.7495,0.0001,0.8769,0.0001
1.001,0.0001,1.1842,0.0001
1.2485,0.0001,1.5002,0.0001
1.5042,0.0001,1.843,0.0001
