P_m,Error_P_m,V,Error_V,t,Error_t
20,0.5,0.001,0.00005,70,1
40,0.5,0.002,0.00005,72,1
60,0.5,0.003,0.00005,75,1
80,0.5,0.004,0.00005,83,1
