P_m,Error_P_m,V,Error_V,t,Error_t
20,0.5,0.005,0.0001,60,1
40,0.5,0.01,0.0001,70,1
60,0.5,0.01,0.0001,60,1
80,0.5,0.01,0.0001,54,1
